"id","ranking","song_name","time","singer","style"
"401","1","哪里都是你","03:42","队长","轻音乐"
"402","2","孤勇者 - (《英雄联盟：双城之战》动画剧集中文主题曲)","04:16","陈奕迅","R&B"
"403","3","苦茶子","02:50","Starling8/MoreLearn 27/FIVESTAR","说唱"
"404","4","11","03:54","队长/黄礼格","说唱"
"405","5","篇章","04:09","张韶涵/王赫野","说唱"
"406","6","把回忆拼好给你","06:21","王贰浪","流行"
"407","7","还是会想你","03:10","林达浪/h3R3","说唱"
"408","8","这世界那么多人 - (电影《我要我们在一起》主题曲)","04:45","莫文蔚","民谣"
"409","9","罗生门（Follow）","04:03","梨冻紧/Wiz_H张子豪","R&B"
"410","10","忘不掉的你","02:52","h3R3","古风"
"411","11","水星记","05:25","郭顶","电子"
"412","12","Letting Go","04:23","蔡健雅","民谣"
"413","13","唯一","04:30","告五人","古风"
"414","14","夏日漱石 (Summer Cozy Rock)","04:23","橘子海 (Orange Ocean)","古风"
"415","15","三国恋 - (2022正版授权)","03:41","王巨星","轻音乐"
"416","16","STAY","02:21","The Kid LAROI/Justin Bieber","民谣"
"417","17","致你 - (女声版)","04:31","yihuik苡慧","电子"
"418","18","晚风","03:22","7copy/BT07","电子"
"419","19","予你 - (《解药》官方主题曲Ⅱ)","03:51","队长","轻音乐"
"420","20","Letting Go - (这是一封离别信)","04:06","刘大拿","爵士"
"421","21","起风了","05:25","买辣椒也用券","R&B"
"422","22","高山低谷 (Live)","04:14","杨千嬅/周笔畅/单依纯","爵士"
"423","23","删了吧 - (要不你还是把我删了吧)","03:24","烟(许佳豪)","爵士"
"424","24","形容","03:45","沈以诚","说唱"
"425","25","给你呀（又名：for ya）","02:33","蒋小呢","民谣"
"426","26","Normal No More","03:19","TYSM","摇滚"
"427","27","异地恋 - (我每天问一百次)","02:52","ZAVIS/坤木Joymo","流行"
"428","28","漠河舞厅·2022","05:04","柳爽","R&B"
"429","29","But U","03:45","NINEONE#","轻音乐"
"430","30","错位时空","03:23","艾辰","古风"
"431","31","想去海边","04:27","夏日入侵企画","R&B"
"432","32","浪漫主义","03:36","姜云升","电子"
"433","33","带我去找夜生活","04:59","告五人","说唱"
"434","34","沉沦与遐想","02:33","C.HØPE","爵士"
"435","35","Bet On Me (Organic Version)","02:51","Walk off the Earth/D Smoke","流行"
"436","36","爱人错过 - (Somewhere in time)","04:52","告五人","流行"
"437","37","Wake (Live)","04:35","Hillsong Young & Free","流行"
"438","38","还是分开","03:46","张叶蕾","古风"
"439","39","晚安","04:49","颜人中","流行"
"440","40","独到 - (《Normal No More》中文版)","03:15","高睿","R&B"
"441","41","在你的身边","04:22","盛哲","说唱"
"442","42","MOM - (妈妈)","02:54","蜡笔小心","摇滚"
"443","43","Empty Love","02:50","Lulleaux/Kid Princess","R&B"
"444","44","Letting Go - (我的眼泪)","04:21","陈老兮","古风"
"445","45","与我无关","04:00","阿冗","R&B"
"446","46","Stay The Night","02:46","Just Kiddin/Camden Cox","流行"
"447","47","So Far Away","03:03","Martin Garrix/David Guetta/Jamie Scott/Romy Dya","爵士"
"448","48","Bet On Me","02:52","Walk off the Earth/D Smoke","古风"
"449","49","有些","03:49","颜人中","R&B"
"450","50","Love Is Gone (Acoustic)","02:56","SLANDER/Dylan Matthew","摇滚"
"451","51","天外来物","04:17","薛之谦","爵士"
"452","52","像我这样的人","03:27","毛不易","轻音乐"
"453","53","他只是经过","03:35","h3R3/高旭","爵士"
"454","54","玫瑰少年 - (小提琴版)","02:00","Strictlyviolin荀博/王朝","古风"
"455","55","新地球 - (Brave New World)","04:37","林俊杰","电子"
"456","56","想自由","03:15","徐秉龙","古风"
"457","57","特别的人 - (Special Person)","04:19","方大同","说唱"
"458","58","晚风心里吹","03:06","阿梨粤","爵士"
"459","59","你的轮廓 - (我穿过所有浪漫银河)","03:57","叶琼琳","说唱"
"460","60","永不失联的爱","04:19","周兴哲","轻音乐"
"461","61","爱丫爱丫 - (完整版)","03:30","许66","电子"
"462","62","初恋","03:42","回春丹","摇滚"
"463","63","我看过","02:44","周星星","摇滚"
"464","64","世间美好与你环环相扣","03:11","柏松","轻音乐"
"465","65","楼顶上的小斑鸠","03:42","队长","爵士"
"466","66","夏天的风","03:41","火羊瞌睡了","说唱"
"467","67","大眠 (完整版)","03:04","小乐哥（王唯乐）","轻音乐"
"468","68","嘉宾","04:30","路飞文","摇滚"
"469","69","真的没喝多","02:40","B2$/KOALA","电子"
"470","70","下雨天","04:25","与少年他/芝麻Mochi","说唱"
"471","71","断线","04:17","Shang/lil sophy","R&B"
"472","72","阿拉斯加海湾","03:57","蓝心羽","流行"
"473","73","耍把戏","03:27","阿禹ayy","R&B"
"474","74","消愁","04:21","毛不易","摇滚"
"475","75","再次爱上你 - (温柔版)","03:34","WiFi歪歪","轻音乐"
"476","76","像鱼","04:45","王贰浪","电子"
"477","77","多远都要在一起","03:36","G.E.M.邓紫棋","民谣"
"478","78","一分一寸","03:56","阿YueYue/霓虹之后","说唱"
"479","79","山楂树之恋","03:04","程佳佳","古风"
"480","80","落在生命里的光","03:37","尹昔眠","流行"
"481","81","Dancing With Your Ghost","03:17","Sasha Alex Sloan","摇滚"
"482","82","大雾 - (大雾四起 偷偷藏匿)","02:14","未知音素/张一乔","爵士"
"483","83","指纹","04:00","杜宣达","轻音乐"
"484","84","星辰大海","03:27","黄霄雲","轻音乐"
"485","85","7 %","02:52","XMASwu","R&B"
"486","86","你走以后1.0","03:54","王恩信Est/二胖u（王訫）","R&B"
"487","87","三得利","03:30","浪味仙贝","R&B"
"488","88","百年孤寂","04:57","苏玮","轻音乐"
"489","89","命运","03:32","粉太狼","轻音乐"
"490","90","孤身","03:31","徐秉龙","民谣"
"491","91","想到你","03:44","朴宰范/pH-1/李大奔_","摇滚"
